"Accession","Latitude","Longitude"
"Ki1-2-7m","67.93","20.36"
"Ki2-D1","67.92","20.37"
"Ki2-D2","67.92","20.37"
"Ki2-D3","67.92","20.37"
"Ki2-D4","67.92","20.37"
"Ki3-D1","67.65","21.17"
"Ki3-D2","67.65","21.17"
"Ki3-D3","67.65","21.17"
"Ki3-D4","67.65","21.17"
"KR1","61.22","25.22"
"KR2","61.22","25.22"
"KR3","61.22","25.22"
"KR4","61.22","25.22"
"KR5","61.22","25.22"
"KT1","63.35","14.46"
"KT2","63.35","14.46"
"KT3","63.35","14.46"
"KT4","63.35","14.46"
"KT5","63.35","14.46"
"KT6","63.35","14.46"
"LaPlata-15m-a","18.33","-66.24"
"LaPlata-15m-b","18.33","-66.24"
"LaPlata-1m-a","18.33","-66.24"
"LaPlata-1m-b","18.33","-66.24"
"LaPlata-5m-a","18.33","-66.24"
"LaPlata-5m-b","18.33","-66.24"
"LaPlata-7m-a","18.33","-66.24"
"LaPlata-7m-b","18.33","-66.24"
"LinL1","57.93","15.57"
"LinL2","57.93","15.55"
"LinL3","58.7","16.19"
"LinL4","59.64","16.14"
"LinL5","58.34","16.2"
"LJ-13-9m","61.08","25.03"
"LJ-3-15m","61.08","25.03"
"LJ-3-4m","61.08","25.03"
"LJ-3-65m","61.08","25.03"
"LJ-3-9m","61.08","25.03"
"LJ-5-9m","61.08","25.03"
"LJ-7-9m","61.08","25.03"
"Loc080925_4_5m","47.02","7.0"
"Loc080925_4m","47.02","7.0"
"Loc080925_5_5m","47.02","7.0"
"Loc080925_5m","47.02","7.0"
"Loc080925_6m","47.02","7.0"
"Loc080925_7m","47.02","7.0"
"Loc080925_8_8m","47.02","7.0"
"Loc080925_8m","47.02","7.0"
"Loc081215_1m","47.02","7.0"
"Loc081215_4m","47.02","7.0"
"Loc081215_5m","47.02","7.0"
"Loc081215_6m","47.02","7.0"
"Loc081215_8m","47.02","7.0"
"Loc081215_9m","47.02","7.0"
"Loc090116_1m","47.02","7.0"
"Loc090116_4m","47.02","7.0"
"Loc090116_7m","47.02","7.0"
"Loc090116_8m","47.02","7.0"
"Loc090116_9m","47.02","7.0"
"Loc090402_1m","47.02","7.0"
"Loc090402_4m","47.02","7.0"
"Loc090402_7m","47.02","7.0"
"Loc090402_8_9m","47.02","7.0"
"Loc090402_8m","47.02","7.0"
"Loc090519_1m","47.02","7.0"
"Loc090519_4m","47.02","7.0"
"Loc090519_5m","47.02","7.0"
"Loc090519_6m","47.02","7.0"
"Loc090519_7m","47.02","7.0"
"Loc090519_8_7m","47.02","7.0"
"Loc090519_8m","47.02","7.0"
"Loc090721_1m","47.02","7.0"
"Loc090721_4m","47.02","7.0"
"Loc090721_5m","47.02","7.0"
"Loc090721_6m","47.02","7.0"
"Loc090721_7m","47.02","7.0"
"Loc090721_8_6m","47.02","7.0"
"Loc090721_8m","47.02","7.0"
"Loc090907_1m","47.02","7.0"
"Loc090907_4m","47.02","7.0"
"Loc090907_5m","47.02","7.0"
"Loc090907_6m","47.02","7.0"
"Loc090907_8_6m","47.02","7.0"
"Loc090907_8m","47.02","7.0"
"MJ-2014-D1","61.23","25.14"
"MJ-2014-D2","61.23","25.14"
"MJ-2014-D3","61.23","25.14"
"MJ-2014-D4","61.23","25.14"
"MJ-2014-D5","61.23","25.14"
"MJ-2014-D6","61.23","25.14"
"MJ-2014-D7","61.23","25.14"
"MJ1","61.23","25.14"
"MJ110516A","61.23","25.14"
"MJ110516B","61.23","25.14"
"MJ110629A","61.23","25.14"
"MJ110629B","61.23","25.14"
"MJ110712A","61.23","25.14"
"MJ110712B","61.23","25.14"
"MJ110802A","61.23","25.14"
"MJ110830A","61.23","25.14"
"MJ110830B","61.23","25.14"
"MJ110927A","61.23","25.14"
"MJ110927B","61.23","25.14"
"MJ111018A","61.23","25.14"
"MJ111018B","61.23","25.14"
"MJ120516A","61.23","25.14"
"MJ120516B","61.23","25.14"
"MJ120531A","61.23","25.14"
"MJ120531B","61.23","25.14"
"MJ120620A","61.23","25.14"
"MJ120620B","61.23","25.14"
"MJ120702A","61.23","25.14"
"MJ120716A","61.23","25.14"
"MJ120716B","61.23","25.14"
"MJ120730A","61.23","25.14"
"MJ120730B","61.23","25.14"
"MJ120813B","61.23","25.14"
"MJ120827A","61.23","25.14"
"MJ120827B","61.23","25.14"
"MJ120924A","61.23","25.14"
"MJ120924B","61.23","25.14"
"MJ130605B","61.23","25.14"
"MJ130617A","61.23","25.14"
"MJ130617B","61.23","25.14"
"MJ130702A","61.23","25.14"
"MJ130702B","61.23","25.14"
"MJ130729A","61.23","25.14"
"MJ130729B","61.23","25.14"
"MJ130820A","61.23","25.14"
"MJ130820B","61.23","25.14"
"MJ130916A","61.23","25.14"
"MJ130916B","61.23","25.14"
"MJ2","61.23","25.14"
"MJ3","61.23","25.14"
"MJ4","61.23","25.14"
"T7-022","68.63","-149.6"
"T7-5","68.63","-149.6"
"T8-022","68.63","-149.6"
"T8-5","68.63","-149.6"
"Umea1p1","64.15","18.8"
"Umea1p2","64.15","18.8"
"Umea1p3","64.15","18.8"
"Umea1p4","64.15","18.8"
"Umea2p1","64.12","18.78"
"Umea2p2","64.12","18.78"
"Umea2p3","64.12","18.78"
"Umea2p4","64.12","18.78"
"Umea3p1","64.12","18.78"
"Umea3p2","64.12","18.78"
"Umea3p3","64.12","18.78"
"Umea3p4","64.12","18.78"
"UppL1","59.96","17.28"
"UppL2","60.04","17.56"
"UppL3","59.84","18.64"
"UppL4","59.77","18.64"
"UppL5","59.8","18.51"
"UppL6","59.86","18.54"
"UppL7s","59.86","17.94"
"VK1","61.24","25.06"
"VK2","61.24","25.06"
"VK3","61.24","25.06"
"VK4","61.24","25.06"
"YR1","61.22","25.21"
"YR2","61.22","25.21"
"YR3","61.22","25.21"
"YR4","61.22","25.21"
"SRR12685684","46.87153","-91.10558"
"SRR12685685","46.89501","-91.09353"
"SRR12685686","46.94913","-91.10256"
"SRR12685687","46.9443","-90.99678"
"SRR12676966","49.66","-93.72"
"SRR12261223","43.099","-89.405"
"SRR12261225","43.099","-89.405"
"SRR12261226","43.099","-89.405"
"SRR12261227","43.099","-89.405"
"ERR4011038","59.8376","18.6203"
"ERR4011037","59.8376","18.6203"
"ERR4011035","59.8376","18.6203"
"ERR4011034","59.8376","18.6203"
"ERR4011033","59.8376","18.6203"
"ERR4011032","59.8376","18.6203"
"ERR4011031","59.8376","18.6203"
"ERR3761241","48.616034","14.676594"
"ERR3761240","48.616034","14.676594"
"ERR3761238","48.616034","14.676594"
"ERR3761237","48.616034","14.676594"
"ERR3761235","48.616034","14.676594"
"ERR3761234","48.616034","14.676594"
"ERR3761233","48.616034","14.676594"
"ERR3761232","48.616034","14.676594"
"ERR3761231","48.846361","14.487639"
"ERR3761230","48.846361","14.487639"
"ERR3761229","48.846361","14.487639"
"ERR3761228","48.846361","14.487639"
"ERR3761225","48.846361","14.487639"
"ERR3761224","48.846361","14.487639"
"ERR3761222","48.846361","14.487639"
"ERR3761221","48.846361","14.487639"
"ERR3761220","48.846361","14.487639"
"ERR3761219","48.846361","14.487639"
"ERR3761218","48.846361","14.487639"
"ERR3761217","48.846361","14.487639"
"ERR3761216","48.846361","14.487639"
"ERR3761215","48.846361","14.487639"
"ERR3761214","48.846361","14.487639"
"ERR3761213","48.846361","14.487639"
"ERR3761212","48.846361","14.487639"
"ERR3761211","48.846361","14.487639"
"ERR3761210","48.846361","14.487639"
"ERR3761209","48.846361","14.487639"
"ERR3761206","48.846361","14.487639"
"ERR3761205","48.846361","14.487639"
"ERR3761204","48.846361","14.487639"
"ERR3761203","48.846361","14.487639"
"ERR3761202","48.846361","14.487639"
"ERR3761201","48.846361","14.487639"
"ERR3761200","48.846361","14.487639"
"ERR3761199","48.846361","14.487639"
"ERR3761198","48.846361","14.487639"
"ERR3761197","48.846361","14.487639"
"ERR3761196","48.846361","14.487639"
"ERR3761195","48.846361","14.487639"
"ERR3761194","48.846361","14.487639"
"ERR2163668","59.91149100000001","10.757933"
"ERR2105755","59.91149100000001","10.757933"
"ERR2105754","59.91149100000001","10.757933"
"ERR2105753","59.91149100000001","10.757933"
"ERR2105748","59.91149100000001","10.757933"
"SRR9302958","27.71","100.78"
"SRR9302959","24.48","102.88"
"SRR9302960","24.57","102.89"
"SRR9302961","25.9","100.15"
"SRR9302962","25.94","100.16"
"SRR9302963","24.36","102.79"
"SRR9302965","24.95","102.66"
"SRR9289418","41.6656","-87.5497"
"SRR9214414","48.616034","14.676594"
"SRR9214415","48.616034","14.676594"
"SRR9199084","48.616034","14.676594"
"SRR9214417","48.616034","14.676594"
"SRR9214418","48.616034","14.676594"
"SRR8894378","24.541","102.895"
"SRR8894379","24.541","102.895"
"SRR8894380","24.541","102.895"
"SRR8894381","24.541","102.895"
"SRR8894382","24.541","102.895"
"SRR8561390","51.7874","104.9391"
"SRR8561391","51.7874","104.9391"
"SRR8517158","49.77","-93.82"
"SRR8517159","49.77","-93.82"
"SRR8517160","49.69","-93.69"
"SRR8517161","49.69","-93.69"
"SRR8517163","49.69","-93.69"
"SRR8209852","22.5121","88.3637"
"DRR125127","35.2193","135.9957"
"DRR125126","35.2193","135.9957"
"DRR125125","35.2193","135.9957"
"DRR125124","35.2193","135.9957"
"DRR125123","35.2193","135.9957"
"DRR125122","35.2193","135.9957"
"DRR125121","35.2193","135.9957"
"SRR8126712","38.91","-76.96"
"SRR8126725","38.91","-76.96"
"SRR8126731","38.91","-76.96"
"SRR8075935","34.261117","-83.950069"
"SRR8075938","34.261117","-83.950069"
"SRR8075941","31.662940000000006","-85.062168"
"SRR8075947","29.719072","-84.981177"
"SRR8075949","31.662940000000006","-85.062168"
"SRR8075950","34.261117","-83.950069"
"SRR8075952","32.933463","-85.19634"
"SRR8075953","32.933463","-85.19634"
"SRR8075954","34.261117","-83.950069"
"SRR8075955","29.719072","-84.981177"
"SRR8075960","32.664624","-85.087393"
"SRR8075961","34.261117","-83.950069"
"SRR8075962","32.664624","-85.087393"
"SRR8075963","32.664624","-85.087393"
"SRR8075964","31.662940000000006","-85.062168"
"SRR8075965","32.664624","-85.087393"
"SRR8075975","34.261117","-83.950069"
"SRR8075976","34.261117","-83.950069"
"SRR8075977","31.662940000000006","-85.062168"
"SRR8075978","32.933463","-85.19634"
"SRR8075980","31.662940000000006","-85.062168"
"SRR8075982","34.261117","-83.950069"
"SRR8075983","34.261117","-83.950069"
"SRR8075984","34.261117","-83.950069"
"SRR8075985","30.743083","-84.858652"
"SRR8075986","30.743083","-84.858652"
"SRR8075987","30.743083","-84.858652"
"SRR8075988","30.743083","-84.858652"
"SRR8075990","32.933463","-85.19634"
"SRR8075991","30.743083","-84.858652"
"SRR8075992","32.664624","-85.087393"
"SRR8075993","31.662940000000006","-85.062168"
"SRR7646213","-27.263585","152.936751"
"SRR7646214","-27.263585","152.936751"
"SRR7646215","-27.263585","152.936751"
"SRR7646219","-27.263585","152.936751"
"SRR7514478","58.77805600000001","-111.338851"
"SRR7514483","58.77805600000001","-111.338851"
"SRR7514484","58.77805600000001","-111.338851"
"SRR7514496","58.77805600000001","-111.338851"
"SRR7514499","58.77805600000001","-111.338851"
"SRR7514504","58.77805600000001","-111.338851"
"SRR7514506","58.77805600000001","-111.338851"
"SRR7514508","58.77805600000001","-111.338851"
"SRR7514513","58.77805600000001","-111.338851"
"SRR7468254","58.77805600000001","-111.338851"
"SRR7468263","58.77805600000001","-111.338851"
"SRR7468265","58.77805600000001","-111.338851"
"SRR7468279","58.77805600000001","-111.338851"
"SRR7468281","58.77805600000001","-111.338851"
"SRR7468302","58.77805600000001","-111.338851"
"SRR7468306","58.77805600000001","-111.338851"
"SRR7369908","33.11","120.26"
"SRR7369909","33.11","120.26"
"SRR7369910","33.11","120.26"
"SRR7369911","33.11","120.26"
"SRR7369915","33.11","120.26"
"SRR7369916","33.11","120.26"
"SRR7369917","33.11","120.26"
"SRR7369918","33.11","120.26"
"SRR7369919","33.11","120.26"
"SRR7369920","33.11","120.26"
"SRR7369921","33.11","120.26"
"SRR7369922","33.11","120.26"
"SRR7369924","33.11","120.26"
"SRR7054680","47.3","8.57"
"SRR7054681","47.3","8.57"
"SRR6986809","31.09","121.21"
"SRR6986813","22.47","108.21"
"SRR6986815","29.21","111.49"
"SRR6986817","37.45","112.39"
"SRR6986818","29.17","111.53"
"SRR6986819","38.28","106.13"
"SRR6986822","34.52","118.43"
"SRR6986824","34.55","118.41"
"SRR6986825","31.1","121.27"
"SRR6986826","36.04","120.19"
"SRR6787039","48.846361","14.487639"
"SRR6754086","48.846361","14.487639"
"SRR6754087","48.846361","14.487639"
"SRR6754088","48.846361","14.487639"
"SRR6754089","48.846361","14.487639"
"SRR6791932","48.846361","14.487639"
"SRR6754092","48.846361","14.487639"
"SRR6754093","48.846361","14.487639"
"SRR6754094","48.846361","14.487639"
"SRR6754095","48.846361","14.487639"
"SRR6754096","48.846361","14.487639"
"SRR6754097","48.846361","14.487639"
"SRR6754098","48.846361","14.487639"
"SRR6754099","48.846361","14.487639"
"SRR6754100","48.846361","14.487639"
"SRR6754101","48.846361","14.487639"
"SRR6754102","48.846361","14.487639"
"SRR6754103","48.846361","14.487639"
"SRR6475631","47.3","8.57"
"SRR6475632","47.3","8.57"
"SRR6475633","47.3","8.57"
"SRR6423777","1.4","103.81"
"SRR6423789","1.4","103.801"
"SRR6423791","1.41","103.731"
"SRR6423795","1.39","103.921"
"SRR6423802","1.42","103.72"
"SRR6423803","1.31","103.72"
"SRR6423804","1.38","103.92"
"SRR6423806","1.38","103.91"
"SRR6423807","1.39","103.92"
"SRR6423811","1.29","103.86"
"SRR6262235","24.82","118.16"
"SRR6262236","24.82","118.16"
"SRR6262237","24.82","118.16"
"SRR6262238","24.82","118.16"
"SRR6262239","24.82","118.16"
"SRR6262240","24.82","118.16"
"SRR6262241","24.82","118.16"
"SRR6262242","24.82","118.16"
"SRR6262243","24.82","118.16"
"SRR6262244","24.82","118.16"
"SRR6262245","24.82","118.16"
"SRR6262246","24.82","118.16"
"SRR6237650","42.43592","-71.14935"
"SRR6201526","41.77","-81.73"
"SRR6201524","41.77","-81.73"
"SRR6201002","43.099444","-89.404444"
"SRR6197918","43.099444","-89.404444"
"SRR5997543","1.29","103.86"
"SRR5997547","1.39","103.92"
"SRR5896114","51.7874","104.9391"
"SRR5896115","51.7874","104.9391"
"SRR5432762","46.238518","6.293545"
"SRR5338504","39.14","-0.65"
"SRR5260500","43.1998","-86.5698"
"SRR5260499","43.1998","-86.5698"
"SRR5260498","43.1998","-86.5698"
"SRR5260496","43.1998","-86.5698"
"SRR5260495","43.1998","-86.5698"
"SRR5260494","43.1998","-86.5698"
"SRR5260448","43.1998","-86.5698"
"SRR5260447","43.1998","-86.5698"
"SRR5260446","43.1998","-86.5698"
"SRR5211163","45.4091","-72.0994"
"SRR5211153","46.8319","-72.5"
"SRR2179956","44.99","-73.11"
"SRR2179955","44.99","-73.11"
"SRR2179954","44.99","-73.11"
"SRR4754863","47.070833","8.316333"
"SRR4754862","47.070833","8.316333"
"SRR4754860","47.070833","8.316333"
"SRR4754859","47.0925","8.4891"
"SRR4754858","47.0925","8.4891"
"ERR472739","42.6411","0.7784"
"ERR472738","42.6411","0.7784"
"SRR4198832","39.14","-0.6499"
"SRR4198666","39.14","-0.6499"
"SRR4029424","46.041","-89.686"
"SRR4029423","46.041","-89.686"
"SRR4029421","46.041","-89.686"
"SRR4029420","46.041","-89.686"
"SRR4029418","46.041","-89.686"
"SRR4029415","46.041","-89.686"
"SRR4029414","46.041","-89.686"
"SRR4029413","46.041","-89.686"
"SRR4029412","46.041","-89.686"
"SRR4029409","46.041","-89.686"
"SRR4029405","46.041","-89.686"
"SRR4029403","46.041","-89.686"
"SRR4029402","46.041","-89.686"
"SRR4029401","46.041","-89.686"
"SRR4029400","46.041","-89.686"
"SRR4029398","46.041","-89.686"
"SRR4029397","46.041","-89.686"
"SRR4029396","46.041","-89.686"
"SRR4029395","46.041","-89.686"
"SRR4029394","46.041","-89.686"
"SRR4029392","46.041","-89.686"
"SRR4029388","46.041","-89.686"
"SRR4029386","46.041","-89.686"
"SRR4029381","46.041","-89.686"
"SRR4029380","46.041","-89.686"
"SRR4029378","46.041","-89.686"
"SRR4029377","46.041","-89.686"
"SRR4029376","46.041","-89.686"
"SRR4029371","46.041","-89.686"
"SRR4029370","46.041","-89.686"
"SRR4029369","46.041","-89.686"
"SRR4029368","46.041","-89.686"
"SRR4029367","46.041","-89.686"
"SRR4029366","46.041","-89.686"
"SRR4029365","46.041","-89.686"
"SRR4029362","46.041","-89.686"
"SRR4029359","46.041","-89.686"
"SRR4029124","46.041","-89.686"
"SRR4029121","46.041","-89.686"
"SRR4029118","46.041","-89.686"
"SRR4029117","46.041","-89.686"
"SRR4029116","46.041","-89.686"
"SRR4029115","46.041","-89.686"
"SRR4029111","46.041","-89.686"
"SRR4029110","46.041","-89.686"
"SRR4029086","46.041","-89.686"
"SRR4029085","46.041","-89.686"
"SRR4029083","46.041","-89.686"
"SRR4029080","46.041","-89.686"
"SRR4029074","46.041","-89.686"
"SRR4029064","46.041","-89.686"
"SRR4029063","46.041","-89.686"
"SRR4018504","43.2052","-79.2648"
"SRR4018501","43.2047","-79.266"
"SRR4018498","42.8722","-79.4272"
"SRR4018493","42.8698","-79.3981"
"SRR4018491","42.8638","-79.3862"
"SRR1173821","38.5355","-0.2663"
"SRR3657441","61.208142","25.113609"
"SRR3657440","61.208142","25.113609"
"SRR3657439","61.208142","25.113609"
"SRR3657438","61.208142","25.113609"
"SRR3657437","61.208142","25.113609"
"SRR3657436","61.208142","25.113609"
"SRR3657435","61.208142","25.113609"
"SRR3657434","61.208142","25.113609"
"SRR3657433","61.208142","25.113609"
"SRR3657431","61.208142","25.113609"
"SRR3657430","61.208142","25.113609"
"SRR3657429","61.208142","25.113609"
"SRR3571355","34.15","-83.57"
"SRR3571354","34.15","-83.57"
"SRR3571025","34.15","-83.57"
"SRR3569810","34.15","-83.57"
"SRR3569624","34.15","-83.57"
"SRR3569349","34.15","-83.57"
"SRR3569300","34.15","-83.57"
"SRR3568955","34.15","-83.57"
"SRR3568916","34.15","-83.57"
"SRR3184724","43.92","-122.81"
"SRR3184721","43.92","-122.81"
"SRR3184722","43.92","-122.81"
"SRR3184720","43.92","-122.81"
"SRR3184719","43.92","-122.81"
"SRR3184718","43.92","-122.81"
"SRR3184714","43.92","-122.81"
"SRR3184713","43.92","-122.81"
"SRR3184712","43.92","-122.81"
"SRR3184711","43.92","-122.81"
"SRR3184710","43.92","-122.81"
"SRR3184709","43.92","-122.81"
"SRR3184708","43.92","-122.81"
"SRR3184707","43.92","-122.81"
"SRR3184744","41.93","-122.44"
"SRR3184743","41.93","-122.44"
"SRR3184741","41.93","-122.44"
"SRR3184740","41.93","-122.44"
"SRR3184739","41.93","-122.44"
"SRR3184738","41.93","-122.44"
"SRR3184736","41.97","-122.3"
"SRR3184732","29.96","-95.15"
"SRR3184706","29.96","-95.15"
"SRR3184705","29.96","-95.15"
"SRR3184704","29.96","-95.15"
"SRR2939624","48.0177052","-122.8023445"
"SRR2089224","49.0","-123.0"
"SRR2089216","49.0","-123.0"
"SRR2089207","49.0","-123.0"
"SRR2089183","49.0","-123.0"
"SRR2089172","49.0","-123.0"
"SRR2089164","49.0","-123.0"
"SRR2089143","49.0","-123.0"
"SRR2089135","49.0","-123.0"
"SRR947737","34.261117","-83.950069"
